cluster_id,metric_cores,companies,recurrence_count,similarity_scores,unit_family,recommended_action,canonical_provisional_id,canonical_metric_core,low_confidence
cluster_001,patents_filed,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:1,patents_filed,False
cluster_002,tea_transformed_through_trustea,Tata Consumer,1,,weight,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:2,tea_transformed_through_trustea,True
cluster_003,products_added,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:3,products_added,False
cluster_004,health_and_wellness_product_launches_ratio,Tata Consumer,1,,ratio,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:4,health_and_wellness_product_launches_ratio,True
cluster_005,new_product_launches_with_benefits,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:5,new_product_launches_with_benefits,False
cluster_006,beneficiaries_impacted,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:6,beneficiaries_impacted,True
cluster_007,gender_diversity,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:7,gender_diversity,True
cluster_008,water_recharged,Tata Consumer,1,,volume,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:8,water_recharged,False
cluster_009,trustea_certified_tea_share,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:9,trustea_certified_tea_share,False
cluster_010,bio_based_fuels_share,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:10,bio_based_fuels_share,False
cluster_011,carbon_neutrality_target,Tata Consumer,1,,duration,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:11,carbon_neutrality_target,False
cluster_012,zero_waste_to_landfill_target,Tata Consumer,1,,duration,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:12,zero_waste_to_landfill_target,False
cluster_013,foreign_exchange | foreign_exchange_earned,GCPL | Tata Consumer,2,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:13<->GCPL:gcpl_new_metric_distance_audit_v2:181:1.000 | Tata Consumer:tata_consumer_new_metric_distance_audit_applied:13<->GCPL:gcpl_new_metric_distance_audit_v2:182:1.000,monetary,watch,GCPL:gcpl_new_metric_distance_audit_v2:181,foreign_exchange_earned,True
cluster_014,foreign_exchange,Tata Consumer,1,,monetary,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:14,foreign_exchange,True
cluster_015,market_capitalisation,Tata Consumer,1,,monetary,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:15,market_capitalisation,True
cluster_016,direct_outlets,Tata Consumer,1,,count,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:16,direct_outlets,False
cluster_017,store_count,Tata Consumer,1,,count,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:17,store_count,False
cluster_018,store_count,Tata Consumer,1,,count,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:18,store_count,False
cluster_019,strategic_pillars,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:19,strategic_pillars,True
cluster_020,sales_outlets_geofenced,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:20,sales_outlets_geofenced,False
cluster_021,branded_tea_player_position,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:21,branded_tea_player_position,False
cluster_022,growth_business_delivered_growth,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:22,growth_business_delivered_growth,True
cluster_023,total_distribution_network,Tata Consumer,1,,count,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:23,total_distribution_network,False
cluster_024,total_reach,Tata Consumer,1,,count,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:24,total_reach,False
cluster_025,population,Tata Consumer,1,,monetary,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:25,population,False
cluster_026,himalayan_growth,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:26,himalayan_growth,True
cluster_027,new_markets_contribution,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:27,new_markets_contribution,True
cluster_028,kashmiri_saffron_launch,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:28,kashmiri_saffron_launch,True
cluster_029,energy_drink_launch,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:29,energy_drink_launch,True
cluster_030,direct_distributors,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:30,direct_distributors,True
cluster_031,direct_distributors,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:31,direct_distributors,True
cluster_032,tea_volume_growth,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:32,tea_volume_growth,True
cluster_033,tea_value_growth,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:33,tea_value_growth,True
cluster_034,rtd_beverage_growth,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:34,rtd_beverage_growth,False
cluster_035,tata_copper_plus_growth,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:35,tata_copper_plus_growth,True
cluster_036,tata_gluco_plus_growth,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:36,tata_gluco_plus_growth,True
cluster_037,value_share,Tata Consumer,1,,percentage_points,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:37,value_share,False
cluster_038,new_stores,Tata Consumer,1,,count,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:38,new_stores,False
cluster_039,stores,Tata Consumer,1,,count,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:39,stores,False
cluster_040,cities,GCPL | Tata Consumer,2,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:40<->GCPL:gcpl_new_metric_distance_audit_v2:117:1.000,unknown,watch,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:40,cities,True
cluster_041,stores_milestone,Tata Consumer,1,,count,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:41,stores_milestone,False
cluster_042,stores,Tata Consumer,1,,count,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:42,stores,False
cluster_043,non_branded_business_growth,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:43,non_branded_business_growth,True
cluster_044,ethical_tea_partnership_reach,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:44,ethical_tea_partnership_reach,False
cluster_045,ethical_tea_partnership_reach,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:45,ethical_tea_partnership_reach,False
cluster_046,trustea_verified_volume,Tata Consumer,1,,weight,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:46,trustea_verified_volume,True
cluster_047,trustea_workers_reached,Tata Consumer,1,,count,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:47,trustea_workers_reached,False
cluster_048,small_growers_verified,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:48,small_growers_verified,False
cluster_049,aspiration_beneficiaries,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:49,aspiration_beneficiaries,True
cluster_050,tea_market_percentage,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:50,tea_market_percentage,True
cluster_051,beneficiaries_supported,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:51,beneficiaries_supported,True
cluster_052,healthcare_tea_community_members,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:52,healthcare_tea_community_members,True
cluster_053,iso_certification,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:53,iso_certification,True
cluster_054,rooftop_area_recharge,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:54,rooftop_area_recharge,False
cluster_055,market_growth,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:55,market_growth,True
cluster_056,market_value,Tata Consumer,1,,monetary,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:56,market_value,True
